[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"620","181","0","0","0","0","0","0","0","0","0"
"622","181","0","0","0","0","0","0","0","0","0"
"624","180","0","0","0","0","0","0","0","0","0"
"626","181","0","0","0","0","0","0","0","0","0"
"628","181","0","0","0","0","0","0","0","0","0"
"630","180","0","0","0","0","0","0","0","0","0"
"632","180","0","0","0","0","0","0","0","0","0"
"634","180","0","0","0","0","0","0","0","0","0"
"636","181","0","0","0","0","0","0","0","0","0"
"638","180","0","0","0","0","0","0","0","0","0"
"640","180","0","0","0","0","0","0","0","0","0"
"642","179","0","0","0","0","0","0","0","0","0"
"644","179","0","0","0","0","0","0","0","0","0"
"646","179","0","0","0","0","0","0","0","0","0"
"648","179","0","0","0","0","0","0","0","0","0"
"650","179","0","0","0","0","0","0","0","0","0"
"652","177","0","0","0","0","0","0","0","0","0"
"654","176","0","0","0","0","0","0","0","0","0"
"656","176","0","0","0","0","0","0","0","0","0"
"658","174","0","0","0","0","0","0","0","0","0"
"660","174","0","0","0","0","0","0","0","0","0"
"662","174","0","0","0","0","0","0","0","0","0"
"664","176","0","0","0","0","0","0","0","0","0"
"666","174","0","0","0","0","0","0","0","0","0"
"668","174","0","0","0","0","0","0","0","0","0"
"670","174","0","0","0","0","0","0","0","0","0"
"672","174","0","0","0","0","0","0","0","0","0"
"674","174","0","0","0","0","0","0","0","0","0"
"676","174","0","0","0","0","0","0","0","0","0"
"678","174","0","0","0","0","0","0","0","0","0"
"680","174","0","0","0","0","0","0","0","0","0"
"682","176","0","0","0","0","0","0","0","0","0"
"684","174","0","0","0","0","0","0","0","0","0"
"686","173","0","0","0","0","0","0","0","0","0"
"688","173","0","0","0","0","0","0","0","0","0"
"690","173","0","0","0","0","0","0","0","0","0"
"692","173","0","0","0","0","0","0","0","0","0"
"694","173","0","0","0","0","0","0","0","0","0"
"696","173","0","0","0","0","0","0","0","0","0"
"698","173","0","0","0","0","0","0","0","0","0"
"700","174","0","0","0","0","0","0","0","0","0"
"702","174","0","0","0","0","0","0","0","0","0"
"704","174","0","0","0","0","0","0","0","0","0"
"706","174","0","0","0","0","0","0","0","0","0"
"708","174","0","0","0","0","0","0","0","0","0"
"710","174","0","0","0","0","0","0","0","0","0"
"712","176","0","0","0","0","0","0","0","0","0"
"714","174","0","0","0","0","0","0","0","0","0"
"716","174","0","0","0","0","0","0","0","0","0"
"718","174","0","0","0","0","0","0","0","0","0"
"720","174","0","0","0","0","0","0","0","0","0"
"722","174","0","0","0","0","0","0","0","0","0"
"724","174","0","0","0","0","0","0","0","0","0"
"726","174","0","0","0","0","0","0","0","0","0"
"728","174","0","0","0","0","0","0","0","0","0"
"730","173","0","0","0","0","0","0","0","0","0"
"732","173","0","0","0","0","0","0","0","0","0"
"734","172","0","0","0","0","0","0","0","0","0"
"736","172","0","0","0","0","0","0","0","0","0"
"738","172","0","0","0","0","0","0","0","0","0"
"740","170","0","0","0","0","0","0","0","0","0"
"742","172","0","0","0","0","0","0","0","0","0"
"744","172","0","0","0","0","0","0","0","0","0"
"746","172","0","0","0","0","0","0","0","0","0"
"748","170","0","0","0","0","0","0","0","0","0"
"750","170","0","0","0","0","0","0","0","0","0"
"752","170","0","0","0","0","0","0","0","0","0"
"754","170","0","0","0","0","0","0","0","0","0"
"756","170","0","0","0","0","0","0","0","0","0"
"758","170","0","0","0","0","0","0","0","0","0"
"760","170","0","0","0","0","0","0","0","0","0"
"762","170","0","0","0","0","0","0","0","0","0"
"764","170","0","0","0","0","0","0","0","0","0"
"766","170","0","0","0","0","0","0","0","0","0"
"768","172","0","0","0","0","0","0","0","0","0"
"770","172","0","0","0","0","0","0","0","0","0"
"772","170","0","0","0","0","0","0","0","0","0"
"774","172","0","0","0","0","0","0","0","0","0"
"776","172","0","0","0","0","0","0","0","0","0"
"778","170","0","0","0","0","0","0","0","0","0"
"780","170","0","0","0","0","0","0","0","0","0"
"782","172","0","0","0","0","0","0","0","0","0"
"784","172","0","0","0","0","0","0","0","0","0"
"786","173","0","0","0","0","0","0","0","0","0"
"788","172","0","0","0","0","0","0","0","0","0"
"790","172","0","0","0","0","0","0","0","0","0"
"792","172","0","0","0","0","0","0","0","0","0"
"794","172","0","0","0","0","0","0","0","0","0"
"796","172","0","0","0","0","0","0","0","0","0"
"798","174","0","0","0","0","0","0","0","0","0"
"800","174","0","0","0","0","0","0","0","0","0"
"802","174","0","0","0","0","0","0","0","0","0"
"804","174","0","0","0","0","0","0","0","0","0"
"806","174","0","0","0","0","0","0","0","0","0"
"808","176","0","0","0","0","0","0","0","0","0"
"810","176","0","0","0","0","0","0","0","0","0"
"812","176","0","0","0","0","0","0","0","0","0"
"814","176","0","0","0","0","0","0","0","0","0"
"816","176","0","0","0","0","0","0","0","0","0"
"818","176","0","0","0","0","0","0","0","0","0"
"820","176","0","0","0","0","0","0","0","0","0"
"822","176","0","0","0","0","0","0","0","0","0"
"824","177","0","0","0","0","0","0","0","0","0"
"826","177","0","0","0","0","0","0","0","0","0"
"828","176","0","0","0","0","0","0","0","0","0"
"830","176","0","0","0","0","0","0","0","0","0"
"832","176","0","0","0","0","0","0","0","0","0"
"834","175","0","0","0","0","0","0","0","0","0"
"836","174","0","0","0","0","0","0","0","0","0"
"838","174","0","0","0","0","0","0","0","0","0"
"840","174","0","0","0","0","0","0","0","0","0"
"842","174","0","0","0","0","0","0","0","0","0"
"844","176","0","0","0","0","0","0","0","0","0"
"846","176","0","0","0","0","0","0","0","0","0"
"848","176","0","0","0","0","0","0","0","0","0"
"850","176","0","0","0","0","0","0","0","0","0"
"852","176","0","0","0","0","0","0","0","0","0"
"854","179","0","0","0","0","0","0","0","0","0"
"856","179","0","0","0","0","0","0","0","0","0"
"858","179","0","0","0","0","0","0","0","0","0"
"860","179","0","0","0","0","0","0","0","0","0"
"862","179","0","0","0","0","0","0","0","0","0"
"864","180","0","0","0","0","0","0","0","0","0"
"866","179","0","0","0","0","0","0","0","0","0"
"868","179","0","0","0","0","0","0","0","0","0"
"870","179","0","0","0","0","0","0","0","0","0"
"872","179","0","0","0","0","0","0","0","0","0"
"874","179","0","0","0","0","0","0","0","0","0"
"876","181","0","0","0","0","0","0","0","0","0"
"878","181","0","0","0","0","0","0","0","0","0"
"880","181","0","0","0","0","0","0","0","0","0"
"882","180","0","0","0","0","0","0","0","0","0"
"884","180","0","0","0","0","0","0","0","0","0"
"886","181","0","0","0","0","0","0","0","0","0"
"888","179","0","0","0","0","0","0","0","0","0"
"890","179","0","0","0","0","0","0","0","0","0"
"892","179","0","0","0","0","0","0","0","0","0"
"894","179","0","0","0","0","0","0","0","0","0"
"896","177","0","0","0","0","0","0","0","0","0"
"898","177","0","0","0","0","0","0","0","0","0"
"900","177","0","0","0","0","0","0","0","0","0"
"902","179","0","0","0","0","0","0","0","0","0"
"904","179","0","0","0","0","0","0","0","0","0"
"906","179","0","0","0","0","0","0","0","0","0"
"908","179","0","0","0","0","0","0","0","0","0"
"910","179","0","0","0","0","0","0","0","0","0"
"912","177","0","0","0","0","0","0","0","0","0"
"914","177","0","0","0","0","0","0","0","0","0"
"916","176","0","0","0","0","0","0","0","0","0"
"918","176","0","0","0","0","0","0","0","0","0"
"920","176","0","0","0","0","0","0","0","0","0"
"922","176","0","0","0","0","0","0","0","0","0"
"924","174","0","0","0","0","0","0","0","0","0"
"926","176","0","0","0","0","0","0","0","0","0"
"928","174","0","0","0","0","0","0","0","0","0"
"930","174","0","0","0","0","0","0","0","0","0"
"932","177","0","0","0","0","0","0","0","0","0"
"934","177","0","0","0","0","0","0","0","0","0"
"936","177","0","0","0","0","0","0","0","0","0"
"938","179","0","0","0","0","0","0","0","0","0"
"940","179","0","0","0","0","0","0","0","0","0"
"942","179","0","0","0","0","0","0","0","0","0"
"944","179","0","0","0","0","0","0","0","0","0"
"946","179","0","0","0","0","0","0","0","0","0"
"948","179","0","0","0","0","0","0","0","0","0"
"950","179","0","0","0","0","0","0","0","0","0"
"952","179","0","0","0","0","0","0","0","0","0"
"954","180","0","0","0","0","0","0","0","0","0"
"956","179","0","0","0","0","0","0","0","0","0"
"958","180","0","0","0","0","0","0","0","0","0"
"960","179","0","0","0","0","0","0","0","0","0"
"962","179","0","0","0","0","0","0","0","0","0"
"964","180","0","0","0","0","0","0","0","0","0"
"966","178","0","0","0","0","0","0","0","0","0"
"968","177","0","0","0","0","0","0","0","0","0"
"970","177","0","0","0","0","0","0","0","0","0"
"972","176","0","0","0","0","0","0","0","0","0"
"974","176","0","0","0","0","0","0","0","0","0"
"976","176","0","0","0","0","0","0","0","0","0"
"978","174","0","0","0","0","0","0","0","0","0"
"980","174","0","0","0","0","0","0","0","0","0"
"982","174","0","0","0","0","0","0","0","0","0"
"984","173","0","0","0","0","0","0","0","0","0"
"986","173","0","0","0","0","0","0","0","0","0"
"988","173","0","0","0","0","0","0","0","0","0"
"990","173","0","0","0","0","0","0","0","0","0"
"992","172","0","0","0","0","0","0","0","0","0"
"994","172","0","0","0","0","0","0","0","0","0"
"996","170","0","0","0","0","0","0","0","0","0"
"998","170","0","0","0","0","0","0","0","0","0"
"1000","170","0","0","0","0","0","0","0","0","0"
