[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/1/2005 9:27:26 AM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=0
duration=3298
description=Sample Workout - Heart Rate Only
sessionType=0
maxHR=111
maxSpeed=0
avgHR=81
avgSpeed=0
fromDataRecorder=True
TimeZone1=2940
TimeZone2=360
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1858,85,0,0,0
1860,88,0,0,0
1862,88,0,0,0
1864,87,0,0,0
1866,84,0,0,0
1868,84,0,0,0
1870,88,0,0,0
1872,91,0,0,0
1874,91,0,0,0
1876,95,0,0,0
1878,95,0,0,0
1880,83,0,0,0
1882,85,0,0,0
1884,85,0,0,0
1886,88,0,0,0
1888,88,0,0,0
1890,92,0,0,0
1892,89,0,0,0
1894,89,0,0,0
1896,89,0,0,0
1898,87,0,0,0
1900,87,0,0,0
1902,82,0,0,0
1904,82,0,0,0
1906,84,0,0,0
1908,84,0,0,0
1910,83,0,0,0
1912,86,0,0,0
1914,88,0,0,0
1916,88,0,0,0
1918,80,0,0,0
1920,80,0,0,0
1922,80,0,0,0
1924,83,0,0,0
1926,83,0,0,0
1928,81,0,0,0
1930,82,0,0,0
1932,82,0,0,0
1934,90,0,0,0
1936,90,0,0,0
1938,90,0,0,0
1940,69,0,0,0
1942,69,0,0,0
1944,71,0,0,0
1946,73,0,0,0
1948,73,0,0,0
1950,73,0,0,0
1952,73,0,0,0
1954,73,0,0,0
1956,76,0,0,0
1958,77,0,0,0
1960,77,0,0,0
1962,82,0,0,0
1964,82,0,0,0
1966,80,0,0,0
1968,80,0,0,0
1970,80,0,0,0
1972,80,0,0,0
1974,82,0,0,0
1976,78,0,0,0
1978,76,0,0,0
1980,76,0,0,0
1982,74,0,0,0
1984,76,0,0,0
1986,76,0,0,0
1988,72,0,0,0
1990,72,0,0,0
1992,72,0,0,0
1994,71,0,0,0
1996,71,0,0,0
1998,72,0,0,0
2000,72,0,0,0
2002,72,0,0,0
2004,73,0,0,0
2006,74,0,0,0
2008,74,0,0,0
2010,74,0,0,0
2012,73,0,0,0
2014,73,0,0,0
2016,77,0,0,0
2018,78,0,0,0
2020,78,0,0,0
2022,74,0,0,0
2024,73,0,0,0
2026,74,0,0,0
2028,74,0,0,0
2030,74,0,0,0
2032,74,0,0,0
2034,73,0,0,0
2036,73,0,0,0
2038,79,0,0,0
2040,82,0,0,0
2042,82,0,0,0
2044,74,0,0,0
2046,72,0,0,0
2048,71,0,0,0
2050,72,0,0,0
2052,72,0,0,0
2054,73,0,0,0
2056,71,0,0,0
2058,72,0,0,0
2060,72,0,0,0
2062,73,0,0,0
2064,76,0,0,0
2066,80,0,0,0
2068,78,0,0,0
2070,79,0,0,0
2072,79,0,0,0
2074,81,0,0,0
2076,81,0,0,0
2078,73,0,0,0
2080,73,0,0,0
2082,73,0,0,0
2084,78,0,0,0
2086,74,0,0,0
2088,71,0,0,0
2090,71,0,0,0
2092,72,0,0,0
2094,73,0,0,0
2096,70,0,0,0
2098,70,0,0,0
2100,76,0,0,0
2102,78,0,0,0
2104,78,0,0,0
2106,69,0,0,0
2108,69,0,0,0
2110,69,0,0,0
2112,69,0,0,0
2114,69,0,0,0
2116,71,0,0,0
2118,73,0,0,0
2120,71,0,0,0
2122,71,0,0,0
2124,71,0,0,0
2126,73,0,0,0
2128,72,0,0,0
2130,72,0,0,0
2132,70,0,0,0
2134,71,0,0,0
2136,71,0,0,0
2138,71,0,0,0
2140,72,0,0,0
2142,77,0,0,0
2144,76,0,0,0
2146,76,0,0,0
2148,73,0,0,0
2150,74,0,0,0
2152,75,0,0,0
2154,74,0,0,0
2156,74,0,0,0
2158,74,0,0,0
2160,73,0,0,0
2162,75,0,0,0
2164,73,0,0,0
2166,73,0,0,0
2168,73,0,0,0
2170,73,0,0,0
2172,73,0,0,0
2174,73,0,0,0
2176,73,0,0,0
2178,74,0,0,0
2180,70,0,0,0
2182,72,0,0,0
2184,77,0,0,0
2186,80,0,0,0
2188,81,0,0,0
2190,78,0,0,0
2192,71,0,0,0
2194,73,0,0,0
2196,73,0,0,0
2198,76,0,0,0
2200,72,0,0,0
2202,72,0,0,0
2204,70,0,0,0
2206,74,0,0,0
2208,74,0,0,0
2210,74,0,0,0
2212,74,0,0,0
2214,74,0,0,0
2216,72,0,0,0
2218,72,0,0,0
2220,70,0,0,0
2222,71,0,0,0
2224,73,0,0,0
2226,73,0,0,0
2228,73,0,0,0
2230,76,0,0,0
2232,73,0,0,0
2234,73,0,0,0
2236,73,0,0,0
2238,79,0,0,0
2240,79,0,0,0
2242,74,0,0,0
2244,70,0,0,0
2246,71,0,0,0
2248,69,0,0,0
2250,68,0,0,0
2252,68,0,0,0
2254,69,0,0,0
2256,69,0,0,0
2258,68,0,0,0
2260,67,0,0,0
2262,67,0,0,0
2264,69,0,0,0
2266,69,0,0,0
2268,70,0,0,0
2270,71,0,0,0
2272,72,0,0,0
2274,72,0,0,0
2276,72,0,0,0
2278,75,0,0,0
2280,79,0,0,0
2282,79,0,0,0
2284,84,0,0,0
2286,82,0,0,0
2288,78,0,0,0
2290,78,0,0,0
2292,78,0,0,0
2294,76,0,0,0
2296,73,0,0,0
2298,73,0,0,0
2300,73,0,0,0
2302,74,0,0,0
2304,73,0,0,0
2306,73,0,0,0
2308,73,0,0,0
2310,76,0,0,0
2312,74,0,0,0
2314,72,0,0,0
2316,71,0,0,0
2318,74,0,0,0
2320,74,0,0,0
2322,80,0,0,0
